Scheme,State Nodal Dept,Relevant Components/Description,Eligibility
Marriage Assistance to Normal Person Marrying Orthopaedically Handicapped Person,Social Welfare and Nutritious Meal Programme Department,"Marriage assistance is given under this provision to normal person who marries an Orthopaedically Handicapped person. Total Assistance is  ? 20,000",Normal person should marry an Orthopaedically Handicapped person. The age of the couple (for both) should be above 18 years.
Marriage Assistance to Normal Person Marrying Speech and Hearing Impaired Person,Social Welfare and Nutritious Meal Programme Department,"Marriage assistance is given under this provision to normal person who marries a Speech and Hearing Impaired person. Total Assistance is ? 20,000",Normal person should marry a Speech and Hearing Handicapped person. The age of the couple (for both) should be above 18 years.
Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,Social Welfare and Nutritious Meal Programme Department,This scheme is intended to help the Poor Family Girls in their marriage expenditure. Girls belonging to poor families and below poverty will get,"a) Educational- The bride should have studied up to 10th Std. Qualification - V Std for Scheduled Tribe b) Income limit not exceeding ? 12,000 per annum c) Age limit - Bride should have completed 18 years of age d) Other criteria"
Pre School for Young Hearing Impaired Children,Social Welfare and Nutritious Meal Programme Department,"Under this scheme, Speech and Hearing Impaired children in the age group of 3 to 5 years will get- free pre-school education including uniform, speech therapy and boarding and lodging facilities free of cost.",
Protection of Women From Domestic Violence,Social Welfare and Nutritious Meal Programme Department,"This scheme provides accommodation, food, medical facilities, legal facilities and counselling to the women victims of domestic violence.",
Readers’ Allowance to Visually Handicapped Persons,Social Welfare and Nutritious Meal Programme Department,This scheme provides ? 1500 (per annum) to the Visually Handicapped studying in 9th to 12th Standard Education as readers’ allowance.,
Distribution of Pre- Recorded Cassettes and Tape Recorders to Visually Handicapped,Social Welfare and Nutritious Meal Programme Department,"Under this scheme, pre-recorded cassettes and tape recorders will be distributed to the Visually Handicapped students studying in 10th and 12th Standards. Eligibility – Visually handicapped students who are studying in Government schools are eligible.",
Social Welfare and Nutritious Meal Programme,Social Welfare and Nutritious Meal Programme Department,"Under this scheme, visually handicapped students will get ? 2500 per annum for their degree course and ? 3000 per annum for post- graduation degree.",
Readers Allowance to Visually Handicapped Persons,Social Welfare and Nutritious Meal Programme Department,"Under this provision, Scholarship of ? 2000 per annum will be given for disabled students who are studying from 9th Std. to 12th Std, ","Disabled students studying in recognised schools / colleges / training centre and have obtained not less than 40% of marks in the previous qualifying examination. Income limit less than ? 24, 000 per annum."
Rehabilitation of the Disabled Scholarship - for Degree Course,Social Welfare and Nutritious Meal Programme Department,,
"Strong focus on the special needs of Persons With Disability (PWD), especially children and women",Social Welfare and Nutritious Meal Programme Department,"Under this scheme, for the benefit of hearing impaired students in India B.Com., and B.C.A., Degree Courses commenced at Presidency College from the academic year 2007-2008. ","Plus 2 passed with Commerce for B.Com, Computer Science for B.C.A. Documents"
Sathiyavani Muthu Ammaiyar Ninaivu Free Supply of Sewing Machine Scheme,Social Welfare and Nutritious Meal Programme Department,"Sewing machines are supplied free of cost with a view to increasing the self-employment potential for rehabilitation of destitute widows, deserted wives, socially handicapped women and physically handicapped men and women.",
Sathya Ammaiyar Ninaivu Government Orphanages,Social Welfare and Nutritious Meal Programme Department,"Under this scheme, accommodation, education, uniform, free textbooks and notebooks, medical facilities, chappals and bedding will be given for orphan, deserted, destitute and abandoned children, Children without parents or with single parent and children of ailing parents and prisoners are all also eligible to get in orphanage home.",
Secondary Grade Teachers Training Institute for the Visually and Orthopaedically Handicapped Persons (Diploma In Teacher Education),Social Welfare and Nutritious Meal Programme Department,"Under this provision, Secondary Grade Teachers’ Training Institute for the Visually and Orthopaedically handicapped persons is functioning at the campus of Government Higher Secondary School for the Blind, Poonamallee. 25 visually handicapped and 25 orthopaedically handicapped persons are trained every year. This training will ensure more employment opportunities to the visually handicapped and orthopaedically handicapped persons. ","Should have passed in Higher Secondary Examination. Age limit for destitute, deserted wives and widows is 40 years."
Self-Employment Subsidy for Disabled Person,Social Welfare and Nutritious Meal Programme Department,"Under this scheme, self-employment subsidy to the disabled person's loan is recommended to the unemployed disabled persons who are willing to start their self-employment ventures. The Government subsidy will be released to the disabled persons to whom provisional loan was sanctioned at the maximum of ? 3,000 or 1/3rd of the sanctioned loan amount, whichever is less. Subsidy for setting up of a Bunk Stall is 1/3rd of the loan amount subject to a maximum of ? 5,000","Any disabled persons above 18 years of age. The family income should be below ? 12, 000 per annum."
Scholarship - for the Age of 12 to 14,Social Welfare and Nutritious Meal Programme Department,,"Disabled students studying in recognised schools. Income limit ? 12, 000 per annum"
Scholarship - for the Age of 6 to 11,Social Welfare and Nutritious Meal Programme Department,"Scholarship will be given under this scheme, towards purchase of books and notebooks from I to V Std. ? 500 per annum","Disabled students studying in recognised schools. Income limit ? 12,000 per annum."
Sivagami Ammaiyar Memorial Girl Child Protection Scheme,Social Welfare and Nutritious Meal Programme Department,"Under this scheme-I, ? 22, 200 will be Fixed Deposit in the name of girl child for the family which has only one girl child. Under Scheme-II, Fixed Deposit Receipt for ? 15, 200 for each girl child where the family has two girl children only. An amount of ? 150 as monthly incentive shall be given to the girl child on completion of 5 years from the date of deposit and up to 20th year of deposit for her educational purpose",
Special Education,Social Welfare and Nutritious Meal Programme Department,"Under this scheme, disabled children aged 5 years and above (in case of Hearing Impaired children - 2 years and above) are provided special education",
Training to the Adult Blind Women,Social Welfare and Nutritious Meal Programme Department,"Under this scheme, training is imparted to the destitute visually handicapped women at the Government Rehabilitation Home with Sheltered Workshop for Blind women, Poonamallee in the following trades- a) Handloom Weaving b) Chalk Making. Free boarding and lodging facilities are provided. Training period is 6 months.",
Training to the Speech and Hearing Impaired (Male),Social Welfare and Nutritious Meal Programme Department,"Training is given to speech and hearing impaired persons in Government I.T.I., Guindy in the trade of fitter. The duration of training is two years Stipend at the rate of ? 300 per month will be given. ",Speech and hearing impaired persons. Age 18 years and above and should have passed 10th Std.
Training to the Visually Handicapped,Social Welfare and Nutritious Meal Programme Department,"Free training in the trades of a) Fitter cum Basic Machine Operator (One year), b) Book Binder (One year), c) Cutting and Tailoring (One year)(women only) with free boarding, lodging and free supply of two sets of uniforms will be given under this scheme. ",Visually Handicapped male students having qualification of VIII Std. and above. Age should be above 18 years. Cutting and tailoring training is given only for girls.
Unemployment Allowance to the Visually Handicapped,Social Welfare and Nutritious Meal Programme Department,Unemployment allowance is given at the following rates to the unemployed visually handicapped persons- a) Below Matric ? 300 per month b) Higher Secondary Course ? 375 per month c) Degree and above ? 450 per month. ,Should be in the live Register of the Employment exchange for more than a year
Assistance for Delivery /Miscarriage of Pregnancy / Termination of Pregnancy to a Female Differently Abled Person,Welfare of Differently Abled Persons,"Under the scheme, financial assistance is provided to differently abled persons after delivery of child or even in the case of miscarriage/ termination of pregnancy.",
Miscarriage of Pregnancy / Termination of Pregnancy to a Female Differently Abled Person,Welfare of Differently Abled Persons,,
Assistance for Marriage,Welfare of Differently Abled Persons,"Children of any Differently Abled person holding Identity card. The Differently Abled person shall have attained the age as prescribed by law for marriage. A sum of ? 2,000 is given to meet the marriage expenses of the applicant or his son or daughter.",
Cell Phone Service and Maintenance Training Course,Welfare of Differently Abled Persons,"The Differently Abled persons who are able to move around and who have passed / failed in X Std. The Orthopaedically Differently abled persons are given training in Cell Phone Service and Maintenance. Three months training programme is given in all districts through Directorate of Technical Education, Chennai. A stipend of ? 300 per month is given to the trainees.",
Computer Training Course,Welfare of Differently Abled Persons,"The visually impaired persons who are able to move around and handle computer and who have passed plus 2 courses. Six months training is given for visually impaired persons at Regional Centre of National Institute for visually impaired, Poonamallee at Chennai. A stipend of ? 300 per month is given to the trainees.",
Day Care Centre for Muscular Dystrophy Affected Persons,Welfare of Differently Abled Persons,"Day Care Centres are established in Chennai, Trichy, Madurai, Tirunelveli, Vellore and Coimbatore to provide therapeutic services to the Muscular Dystrophy affected persons.",
Diploma in Medical Laboratory Technology Training,Welfare of Differently Abled Persons,"The Orthopaedically and Hearing Differently Abled persons are able to handle and move in and around the Laboratory and should have passed plus 2 course with Science group. They are given free training in Diploma in Medical Laboratory Technology (DMLT) at Government Medical Colleges at Chennai, Salem, Madurai, Tirunelveli, Thanjavur, Chengalpattu, Vellore, Theni, Tuticorin, Kanyakumari, Coimbatore and Trichy. A stipend of ? 300 per month is given to the trainees.",
Early Intervention Centre for Infant and Young Children With Hearing Impairment in 31 Districts,Welfare of Differently Abled Persons,Young children with hearing impairment without any additional disabilities in the age group of 0-3 years are eligible for admission. Infant and young children with hearing impairment are given training to develop speech and language skills so as to get integrated into normal school by the time they attain the age of 5 years.,
Early Intervention Centre for the Visually Impaired,Welfare of Differently Abled Persons,Young children with hearing impairment without any additional disabilities in the age group of 0-3 years are eligible for admission. Infant and young children with hearing impairment are given training to develop speech and language skills so as to get integrated into normal school by the time they attain the age of 5 years.,
Early Intervention Centre for the Mentally Retarded Children,Welfare of Differently Abled Persons,Visually Impaired children between 0-6 years are identified and assessed and prepared to join in mainstream education,
Financial Assistance to Meet the Funeral Expenses of a Differently Abled Person,Welfare of Differently Abled Persons,"A sum of ? 15, 000 is given as assistance on the Natural Death of a Differently Abled person.",
Goggles and Folding Sticks,Welfare of Differently Abled Persons,Should be a totally visually impaired person. Goggles and folding sticks are being distributed to needy visually impaired persons to enable them to walk freely and independently as well as to protect from sunlight and moisture.,
Homes for the Mentally Ill,Welfare of Differently Abled Persons,"10 homes are established in Thoothukudi, Ramanathapuram, Erode, Trichy, Thiruvarur, Cuddalore, Madurai, Coimbatore, Thiruvarur and Salem to provide food, shelter and rehabilitation services to 50 inmates.",
Maintenance Allowance to Mentally Retarded Persons,Welfare of Differently Abled Persons,"The extent of Mental Retardation should be 60% and above. Maintenance Allowance is given at the rate of ? 1,000 per month to the Mentally Retarded persons with 60 % and above. The allowance is sent through Money Order to their homes.",
Maintenance Allowance to Severely Differently Abled Persons,Welfare of Differently Abled Persons,"The extent of disability should be more than 75%. Severely Differently Abled persons who cannot be rehabilitated through any other scheme. Maintenance allowance is given at the rate of ? 1,000 per month. The allowance is sent through Money Order to their residence itself.",
Marriage Assistance to Differently Abled Persons Marrying Differently Abled Persons,Welfare of Differently Abled Persons,"Differently Abled person should marry a Differently Abled person. The age of the couple (both) should be above 18 years. Marriage assistance is given to Differently Abled person who marries a Differently Abled person. Total Assistance is ? 25,000. with a certificate of appreciation and 4 gram 22 ct. Gold Coin for making Thirumangalyam. If the Differently Abled persons are holding degree or Diploma, the Marriage Assistance amount is ? 50,000 with 4 gram 22 ct Gold Coin for making Thirumangalyam.",
Modular Functional Artificial Limbs (Modular Transtibial Prosthesis),Welfare of Differently Abled Persons,The orthopaedically Differently Abled student should be a resident of the area/district. Modular Functional Artificial Limbs (Modular Transtibial Prosthesis) are provided for Orthopaedically Differently Abled students,
Motorised Tricycles,Welfare of Differently Abled Persons,"The age of the beneficiary should be more than 18 years. The candidate should be severely Orthopaedically Differently Abled student/ working/ self-employed person and resident of the district/area having disability of 75% and above. Motorised Tricycles are provided for severely Orthopaedically affected Differently Abled Students, working Differently Abled persons and self-employed Differently Abled persons.",
National Identity Card for the Differently Abled Persons,Welfare of Differently Abled Persons,Should have a minimum of 40% disability. Issue of National identity cards to Differently Abled. National Identity cards are issued by District Differently Abled Welfare Officers based on the Differently Abled Certificate.,
Scholarship - for I To V and VI to VIII Std,Welfare of Differently Abled Persons,Differently Abled Students studying in recognised schools. Scholarship towards purchase of books and notebooks a) I to V Std. ? 50 per month. (for 10 months ) VI to VIII Std. ? 150 per month( for 10 months).,
Scholarship - for IX to XII Std,Welfare of Differently Abled Persons,"Differently Abled students studying in recognised schools/colleges/ training centres. Should have obtained not less than 40 % of marks in the previous qualifying examination. Scholarship for students studying from 9th Std. to 12th Std, ? 2000 per annum, For Degree Courses ? 3000 per annum. For P.G., Medical, Engineering, Vocational Courses and other Professional Courses ? 3500 per annum.",
Supply of Braille Books,Welfare of Differently Abled Persons,Braille books are distributed to all visually impaired students studying in Government and Recognised Private Schools and in Special Schools.,
Scholarship to Son and Daughter of Persons With Disabilities,Welfare of Differently Abled Persons,"Children of any Differently Abled person holding the Identity card issued by the Welfare Board for the Differently Abled. Scholarship given to son/daughter of Persons with Disabilities as follows a) daughter studying/passed in 10th Std ? 1,000 b) for son who have passed in 10th Std ? 1,000 c) daughter studying in 11th Std ? 1,000d) for daughter studying/passed in 12th Std ? 1,500 e) for son who have passed in 12th Std ? 1,500 f ) son/daughter doing undergraduate course ?1,500 son/daughter doing undergraduate course-with hostel facility ? 1,750 g) son/daughter doing post-graduate course ? 2,000 son/daughter doing post-graduate course- with hostel facility ? 3,000h) son/daughter doing professional degree course ? 2,000 son/ daughter doing professional degree course- with hostel facility ? 4,000i) son/daughter doing professional post-graduate course ? 4,000 son/ daughter doing professional post-graduate course- with hostel facility? 6,000 j) I.T.I or Polytechnic ? 1,000 I.T.I or polytechnic- with hostel facility ? 1,200.",
Personal Accident Relief for Differently Abled Persons,Welfare of Differently Abled Persons,"Any Differently Abled person holding National Identity card for Differently Abled and registered as member in the Welfare Board for the Differently Abled. 1. Accident relief given to Differently Abled persons up to a sum of ? 1,00,000 (Death) 2. Loss of both legs / both hands / one hand and one leg / loss of sight in both eyes ? 1, 00,000 3. Loss of one hand or leg or loss of sight in one eye (? 50, 000) 4. Total disablement not covered in Sl.No.2 and 3 above.",
Pre-School for Young Hearing Impaired Children,Welfare of Differently Abled Persons,"Speech and Hearing Impaired children in the age group of 3 to 5 years. Pre-school education, uniform, speech therapy and boarding and lodging for hearing impaired children.",
Rescue Scheme for the Wandering,Welfare of Differently Abled Persons,Mentally III persons wandering in the streets and other public places are rescued and admitted in hospitals/Rehabilitation Home for the mentally III,
Unemployment Allowance to Differently Abled Persons,Welfare of Differently Abled Persons,Should be in the live Register of the Employment office for more than a year.,
Unemployment Allowance to Differently Abled Persons,Welfare of Differently Abled Persons,"Worker of Differently Abled Persons (WWDAP) 8th Std and must belong to that village. Welfare Organiser of Differently Abled Persons (WODAP) 10th Std and must belong to that place. The main aim of the scheme is to provide Community Based Rehabilitation to Differently Abled Persons. This scheme is implemented in all 32 districts through NGOs. In each Gram Panchayat one WWDAP is appointed. In other areas, one WWDAP is appointed for every 6000 normal population, for every one lakh normal population, one WODAP is appointed. The role of WWDAP and WODAP is to create awareness, identification, assessment and to provide rehabilitation service. Welfare Worker of Differently Abled Persons (WWDAP) and Welfare Organiser of Differently Abled Persons (WODAP) are appointed for this purpose.",
Vocational Training Centre,Welfare of Differently Abled Persons,"This scheme provides vocational training to the differently abled persons with hostel facility for Differently Abled Persons, who are in the age group of 18 – 30 years.",
Artificial Limbs,Public Department,Artificial limbs are provided for the amputees free of cost,The Orthopaedically handicapped person should be a resident of the district / area adopted and identified in the Comprehensive Rehabilitation Camp Programme. Annual income should be less than ? 12000.
Braille Watches,Public Department,Benefit - Braille watches are distributed free of cost to the working visually impaired persons to enable them to reach workplace in time,"The visually impaired working persons a) Income should be less than ? 24,000 per annum, b) Self-employed / employee, c) Working in the unorganised sectors."
Hearing Aids and Solar,Public Department,Calipers and Crutches are given free of cost to the needy and deserving Orthopaedically handicapped persons for their easy mobility. ,The Orthopaedically handicapped person should be a resident of the district / area adopted and identified in the Comprehensive Rehabilitation Camp Programme. Annual Income should be less than
Hearing Aids and Solar ReChargele Batteries,Public Department,The Hearing Impaired persons are given hearing aids with Solar Rechargeable Batteries free of cost to enable them to interact with other normal persons in the society. ,"Hearing Loss should be more than 40%. The nature of hearing loss should be permanent in nature. Should have obtained Medical Certificate from ENT Surgeon, not below the rank of Civil Assistant Surgeon. Family income should not exceed ? 30,000 per annum."
Motorised Cycles (Invalid Carriage),Public Department,"Motorised Tricycles (Invalid Carriage) are provided free of cost for severely Orthopaedically Handicapped Students. Subsidy of 30 % of cost of Motorised cycle or ? 10,000 whichever is less, will be provided for severely Orthopaedically Handicapped working disabled persons",The age of the beneficiary should be more than 18 years. The candidate should be severely Orthopaedically Handicapped student/ working person and State resident of the district/area having disability of 75 % and above.
Tricycles,Public Department,Tricycles are given free of cost to the deserving Orthopaedically Handicapped persons for their easy mobility. ,"The age of the beneficiary should be more than 12 years. The candidate should be an Orthopaedically Handicapped person and resident of the district/area having disability of 75 % and above. Annual Income should be below ? 30,000."
Wheelchairs,Public Department,Wheelchairs are given free of cost to the needy identified and deserving Orthopaedically handicapped and Paraplegic persons for their easy mobility. ,The candidate should be an Orthopaedically handicapped person and resident of the district/area having disability of 75 % and above. Annual Income should be below ? 30000.
Welfare Schemes of the School Education Department - Incentive to Girls Students,School Education Department,"Scheme of School Education Department Providing scholarship to encourage education among girls. Benefit provided, III–V ? 500 per year, VI–VIII ? 1000 per year by Adi Dravidar / Backward Class and Most Backward Class Department. ","Scheme of School Education Department Providing scholarship to encourage education among girls. Benefit provided, III–V ? 500 per year, VI–VIII ? 1000 per year by Adi Dravidar / Backward Class and Most Backward Class Department. "
Welfare Schemes of the School Education Department - Project for Residual Illiteracy (PRI),School Education Department,Scheme of School Education Department - Districts of below average of literacy % in which 17 districts are identified to impart literacy among women. Period of scheme -1 year,"Non-literate women who were not identified in the age group of 15-35. No. of districts where Continuing Education Programme are implemented - Dharmapuri, Villupuram, Perambalur, Namakkal, Erode, Salem, Thiruvannamalai, Karur, Sivagangai, Ramanathapuram, Pudukottai, Theni, Virudhunagar, Vellore, Krishnagiri, Cuddalore and Dindigul district."
Welfare Schemes of the School Education Department - Special Literacy Programme for Women,School Education Department,Scheme of School Education Department - To provide literacy to non- literate women in all backward districts in Tamil Nadu ,Only for women in the age group of 15 - 35.
Integrated Education for the Disabled Children (IEDC) - to Enable the Disabled Children to Mingle Freely With Normal Children Without Barriers,School Education Department,"Scheme of School Education Department - To enable the disabled children to mingle freely with normal children without barriers. Benefit- Expenditure is met out by Government of India towards appointment of special teachers, provision of stay for children, arrangements for the supply of textbooks, uniforms, equipment to disabled children. The scheme is implemented in 24 districts through 14 NGOs.",
Assistance to Law Graduates,Social Welfare and Nutritious Meal Programme Department,Schemes of Social Welfare and Nutritious Meal Programme Dept. - Financial Assistance of ? 3000 will be given to the Orthopaedically / Visually handicapped Law Graduates to start Legal Practice. ,"He/she should be a Law graduate. Annual income should not be more than ? 50, 000. Should have enrolled in Bar Council of Tamil Nadu."
Free Supply of Textbooks and Notebooks to Widows’ Children,Social Welfare and Nutritious Meal Programme Department,"·         Under this provision, textbooks and notebooks are supplied free of cost as detailed below to the children of widows. I Std and II Std. – ? 50 p.a. per child. III Std to V Std - ? 125 p.a. per child. VI Std. to VIII Std - ? 175 p.a. per child. IX Std and X Std - ? 300 p.a. per child. Plus1 and Plus 2 - ? 600 p.a. per child.",
Educational Loan for MinorityStudents Aged Between 16 to 32 Years,"BC, MBC & Minorities Welfare Department","Muslims, Christians, Sikhs, Buddhists, and Parsis, are eligible to apply. (Religious Minorities) Annual income of the applicant should be within ? 40,000 in rural areas and ? 55,000 in urban areas. The age limit is minimum 16 years and maximum 32 years. A loan amount of ? 50,000 per year and up to ? 2,50,000 for 5 years is sanctioned for Technical / Professional Education like B.E., MBBC, etc. The loan is sanctioned at the rate of 3%. The pattern of the above loan is NMDFC 90%, TAMCO 10%. The loan is repayable after six months of the completion of the course or getting the employment whichever is earlier. In case the candidate discontinues the studies due to any reason whatsoever, the loan with interest would become repayable immediately in full.",
Free Education Polytechnic,"BC, MBC & Minorities Welfare Department","Free Education Scheme for Polytechnic students, Backward Classes/ Most Backward Classes/Denotified Communities.",
"Tamil Nadu Agricultural Labourers, Agriculturalists Social Security and Welfare Scheme 2006 – Provision of Education Scholarship to the Children of Agricultural",School Education Department,"Scheme of School Education Department - Provision of education Scholarship to the children of agricultural labourers who have passed 10th and 12th standards. Benefit - Scholarship amount of ? 1,250 to boys and ? 1,500 to girls are given who have passed 10th Standard. Scholarship amount of ? 1,750 to boys and ? 2,000 to girls are given who have passed 12th Standard. This Scholarship is given to boys and girls of all communities, but, parents should possess the Agricultural Labourer card issued by the Revenue Officers.",
Educational Scholarship to Children of Scavengers / Sweepers,School Education Department,"Scheme of School Education Department - Distribution of Educational Scholarship to Children of Scavengers / sweepers studying in schools under School Education Department Benefit - and the Scholarship received from the District Collector will be distributed by the headmaster to the students concerned as follows -Class/ Scholarship 1-5/ ? 950, 6-8/ ? 1150, 9-10/ ? 1300.",
Supply of Free Bicycles,School Education Department,"Schemes of School Education Department - Distribution of free bicycles to Higher Secondary Boys and Girls of all Communities - Officer to be informed on complaints - District Educational Officer. Chief Education Officer. At the State level / Director of School Education, Directorate of School Education. Chennai 6.",
Welfare Schemes of the School Education Department - Project for Residual Illiteracy (PRI),School Education Department,Scheme of School Education Department - Districts of below average of literacy % in which 17 districts are identified to impart literacy among women. Period of scheme -1 year. ,"Non-literate women who were not identified in the age group of 15-35. No.of districts where Continuing Education Programme are implemented - Dharmapuri, Villupuram, Perambalur, Namakkal, Erode, Salem, Thiruvannamalai, Karur, Sivagangai, Ramanathapuram, Pudukottai, Theni, Virudhunagar, Vellore, Krishnagiri, Cuddalore and Dindigul district."
Welfare Schemes of the School Education Department - Special Literacy Programme for Women,School Education Department,Scheme of School Education Department - To provide literacy to non- literate women in all backward districts in Tamil Nadu ,Only for women in the age group of 15 - 35.
Assistance to SC/ST Affected by Riots,Adi Dravidar and Tribal Welfare Department,"The SC and ST Act 1989 and Rules 1995 to prevent atrocities on the SCs and STs. A sum of ? 5.00 lakh maximum is awarded as compensation for the family who lost life in the riots. In addition, employment to one member of the family of the deceased or one house, is to be given, if necessary.",
Villages Schemes,Adi Dravidar and Tribal Welfare Department,"Under this scheme, a sum of ? 2.00 lakh is sanctioned to each village in a district (except Chennai) where untouchability is not followed and people are living harmoniously.",
Rehabilitation Assistance,Minorities Welfare Department,"Financial assistance is provided to the victims of minority people who have been affected due to communal riots and discharged prisoners for petty offence for their rehabilitation. The victims should have been affected by means of economically or physically and unable to do any work physically or who have not involved in any major offences under IPC or should be the discharged prisoners for petty offence as first instance. Petty offences/punishment should be taken into account as defined under various sections of the IPC. Annual income of the applicant should not exceed ? 40,000 for rural areas and ? 60,000 for urban areas. If the applicant is physically affected, should produce a medical certificate from the medical officer of district. If the applicant is economically affected, should produce a necessary certificate from the Tahsildar (Revenue Department) for loss of his property.",
Abolition of Bonded Labour System for SC/ ST,Adi Dravidar and Tribal Welfare Department,"The Bonded Labour System (Abolition) Act, since its inception in 1976, is being implemented in Tamil Nadu. Those persons without any caste and creed who are held in bondage, both within the State as well as in other States are freed and they are extended with appropriate rehabilitation measures. The expenditure for implementing this scheme is borne both by the Centre and the State on equal basis. Each person that has been freed from the clutches of bonded labour is provided with ? 1,000 in cash as immediate relief and subsequently supported for self-employment with a grant ? 19,000 w.e.f from 1.4.2000 by way of rehabilitation assistance.",
Assistance to SC/ST Affected by Riots,Adi Dravidar and Tribal Welfare Department,"The SC and ST Act 1989 and Rules 1995 to prevent atrocities on the SCs and STs. A sum of ? 5.00 lakh maximum is awarded as compensation for the family who lost life in the riots. In addition, employment to one member of the family of the deceased or one house, is to be given, if necessary.",
Scholarship - Free Education up to 12th Std. to All i.e. Tuition Fee will not be Collected and the Amount will  be Reimbursed by Government,Adi Dravidar and Tribal Welfare Department,All Adi Dravidar/Tribal / Adi Dravidar converted to Christianity students are eligible with no income limit.,
Stationery – Textbooks,Adi Dravidar and Tribal Welfare Department,All students studying in 1st standard to 12th standard in Adi Dravidar and tribal welfare schools are eligible for free text books.,
Villages Schemes,Adi Dravidar and Tribal Welfare Department,"Under this scheme, a sum of ? 2.00 lakh is sanctioned to each village in a district (except Chennai) where untouchability is not followed and people are living harmoniously.",
Abolition of Bonded Labour System,Adi Dravidar and Tribal Welfare Department,"Persons kept as bonded labour are released and rehabilitated by providing financial assistance as grant, to the tune of ? 20,000. Of this, a sum of ? 1000 each will be given immediately on relief from Bondage. Remaining (? 19,000) amount will be given for the rehabilitation through various kinds. Moreover, house site pattas, houses under group housing scheme through IRDP, drinking water facility and bank loan assistance are provided to them. Released bonded labour without any caste and creed.",
Rehabilitation Assistance,"BC, MBc&Minorities Welfare Department","Financial assistance is provided to the victims of minority people who have been affected due to communal riots and discharged prisoners for petty offence for their rehabilitation. The victims should have been affected by means of economically or physically and unable to do any work physically or who have not involved in any major offences under IPC or should be the discharged prisoners for petty offence as first instance. Petty offences/punishment should be taken into account as defined under various sections of the IPC. Annual income of the applicant should not exceed ? 40,000 for rural areas and ? 60,000 for urban areas.",
